0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
999,102,100,74,81,86,999,97,999,999,76,99,78,73,999,84,75,91,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,74,999,58,64,83,999,999,57,67,78,68,81,69,999,68,999,60,85,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,61,999,77,68,66,77,65,60,54,999,64,78,999,79,999,999,999,52,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,125,999,103,104,999,105,127,999,109,999,999,126,999,999,113,120,999,120,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,84,100,999,89,102,999,999,999,999,98,999,87,79,83,105,999,106,79,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,58,54,51,999,66,999,999,59,999,999,60,68,63,77,999,50,70,53,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,88,100,999,97,999,89,109,110,999,110,106,999,999,999,999,95,87,102,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,95,999,93,999,81,999,999,103,83,77,85,999,104,999,95,99,82,79,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,95,999,999,72,999,999,75,90,999,93,86,82,999,80,999,81,87,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,105,102,129,127,999,999,999,999,129,124,110,999,999,124,125,999,999,104,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,88,110,98,98,86,101,98,111,92,90,999,97,999,104,100,111,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,99,104,95,87,106,97,105,97,104,97,88,999,109,90,999,82,999,105,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,74,74,87,80,87,999,70,999,70,999,69,999,93,75,999,71,86,86,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,120,999,999,999,999,113,118,102,118,999,103,999,118,999,100,999,999,98,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,70,67,71,999,68,66,80,94,94,999,999,999,79,94,999,999,70,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,101,999,122,123,116,109,107,127,999,999,120,109,118,999,117,999,123,100,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,106,999,105,103,105,999,122,122,109,999,121,999,114,113,109,999,108,114,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,120,117,123,118,999,116,102,103,111,116,104,999,119,113,111,114,121,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,98,88,999,88,101,99,89,102,999,85,99,999,83,999,81,91,85,101,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,77,95,999,999,999,77,999,78,999,999,999,94,79,87,82,999,77,85,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,78,89,98,79,999,81,87,85,80,81,83,97,999,92,89,999,91,95,999,999,999,999,999,999,999,999,999,999,999
